City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Tanout,NE,14.9709,8.8879,82.92,27,4,4.52,clear sky
143,Dunedin,NZ,-45.8742,170.5036,53.8,48,93,15.01,overcast clouds
144,De Aar,ZA,-30.6497,24.0123,45.73,42,0,8.68,clear sky
145,Ampanihy,MG,-24.7,44.75,71.96,79,20,10.29,few clouds
146,Hamilton,US,39.1834,-84.5333,54.99,84,1,0.0,clear sky
147,Prince Rupert,CA,54.3161,-130.3201,43.75,74,100,9.04,overcast clouds
148,Ambon,ID,-3.6954,128.1814,87.94,79,20,8.05,few clouds
149,Okhotsk,RU,59.3833,143.3,17.04,56,0,16.28,clear sky
150,Nyurba,RU,63.2842,118.3319,35.98,90,100,8.77,overcast clouds
151,Sovetskaya,RU,44.7769,41.1722,45.84,82,91,9.37,overcast clouds
152,Inuvik,CA,68.3499,-133.7218,19.9,85,100,1.81,overcast clouds
153,Xining,CN,36.6167,101.7667,36.19,100,100,2.26,overcast clouds
154,Shangrao,CN,28.4532,117.9686,61.11,82,100,4.21,overcast clouds
155,Les Cayes,HT,18.2,-73.75,78.53,84,65,3.65,broken clouds
156,Mehamn,NO,71.0357,27.8492,35.78,69,75,24.16,light snow
157,Holoby,UA,51.0865,25.0077,41.05,87,100,3.83,overcast clouds
158,Novikovo,RU,51.1537,37.8879,37.65,88,81,7.58,broken clouds
159,Rikitea,PF,-23.1203,-134.9692,75.54,72,10,20.98,clear sky
160,Krasnoselkup,RU,65.7,82.4667,36.46,93,84,12.75,broken clouds
161,Faanui,PF,-16.4833,-151.75,80.37,77,36,13.13,light rain
162,San Quintin,MX,30.4833,-115.95,63.0,74,3,13.33,clear sky
163,Gokul,IN,27.45,77.7167,76.26,76,4,7.2,clear sky
164,Nadvoitsy,RU,63.8667,34.3167,30.83,88,95,10.45,overcast clouds
165,Sorkjosen,NO,69.8,20.9333,30.2,74,0,5.75,light snow
166,Avera,US,33.194,-82.5271,53.71,52,14,3.04,few clouds
167,Xuddur,SO,4.1213,43.8894,72.99,82,91,11.65,overcast clouds
168,Asau,RO,46.4333,26.4,44.76,90,45,4.0,light rain
169,Ostrovnoy,RU,68.0531,39.5131,37.42,71,100,25.9,overcast clouds
170,Neuquen,AR,-38.9516,-68.0591,58.89,63,0,0.0,clear sky
171,Watari,JP,38.035,140.8511,57.78,69,100,1.23,overcast clouds
172,Qandala,SO,11.472,49.8728,84.06,50,62,1.28,broken clouds
173,Masuguru,TZ,-11.3667,38.4167,73.69,80,52,5.86,broken clouds
174,Leningradskiy,RU,69.3833,178.4167,10.54,89,100,4.21,overcast clouds
175,Yeppoon,AU,-23.1333,150.7333,87.58,67,8,11.32,clear sky
176,Bonavista,CA,48.6499,-53.1147,47.12,88,100,26.89,overcast clouds
177,Rimbey,CA,52.6334,-114.2353,37.24,76,98,7.54,overcast clouds
178,Egvekinot,RU,66.3167,-179.1667,17.8,92,100,16.58,snow
179,Vardo,NO,70.3705,31.1107,28.6,62,99,25.5,light snow
180,Jacqueville,CI,5.2052,-4.4146,80.51,85,100,13.98,overcast clouds
181,Gazanjyk,TM,39.2446,55.5154,62.6,60,1,7.49,clear sky
182,Canhotinho,BR,-8.8822,-36.1911,68.85,90,95,6.96,overcast clouds
183,Sayyan,YE,15.1718,44.3244,56.48,28,9,6.76,clear sky
184,Tyup,KG,42.7276,78.3648,50.56,44,100,0.83,overcast clouds
185,Kamsack,CA,51.5667,-101.9009,41.45,75,14,18.21,few clouds
186,Suntar,RU,62.1444,117.6319,36.75,89,100,8.99,overcast clouds
187,North Bend,US,43.4065,-124.2243,48.92,99,40,4.61,scattered clouds
188,Kaspiyskiy,RU,45.3929,47.3707,55.09,54,62,8.14,broken clouds
189,Malakal,SS,9.5334,31.6605,74.48,73,7,2.17,clear sky
190,Poyarkovo,RU,49.6,128.6833,37.09,38,12,7.94,few clouds
191,Sechura,PE,-5.5569,-80.8222,65.91,80,99,10.45,overcast clouds
192,Kroya,ID,-7.6331,109.2461,85.73,66,54,7.16,broken clouds
193,Bilibino,RU,68.0546,166.4372,7.38,93,100,6.17,overcast clouds
194,Sur,OM,22.5667,59.5289,86.43,36,6,3.87,clear sky
195,Manzini,SZ,-26.25,31.5,56.23,66,100,3.31,overcast clouds
196,Kruisfontein,ZA,-34.0033,24.7314,48.24,76,0,5.1,clear sky
197,Mattru,SL,7.6244,-11.8332,74.01,97,92,1.95,overcast clouds
198,Kushima,JP,31.4583,131.2333,72.12,48,84,6.78,broken clouds
199,Cururupu,BR,-1.8283,-44.8683,75.36,95,36,2.84,scattered clouds
200,Acapulco,MX,16.8634,-99.8901,79.7,83,74,4.21,broken clouds
201,Cam Ranh,VN,11.9214,109.1591,87.76,62,20,8.05,few clouds
202,Saint George,US,37.1041,-113.5841,52.36,60,1,4.0,clear sky
203,Torbay,CA,47.6666,-52.7314,46.27,94,90,17.27,light rain
204,Port Lincoln,AU,-34.7333,135.8667,64.11,59,27,14.43,scattered clouds
205,Sisimiut,GL,66.9395,-53.6735,28.11,45,6,12.19,clear sky
206,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,45,40,8.95,light rain
207,Pisco,PE,-13.7,-76.2167,61.02,82,50,6.91,mist
208,Longyearbyen,SJ,78.2186,15.6401,19.24,73,40,6.91,scattered clouds
209,Mantua,IT,45.1667,10.7833,51.82,73,88,2.59,overcast clouds
210,Bambous Virieux,MU,-20.3428,57.7575,76.21,71,92,13.76,overcast clouds
211,Ust-Koksa,RU,50.2696,85.6108,39.42,61,4,1.72,clear sky
212,Paamiut,GL,61.994,-49.6678,37.4,59,0,6.49,clear sky
213,Hays,US,30.0502,-98.0336,65.8,79,90,3.0,overcast clouds
214,Saint-Francois,FR,46.4154,3.9054,47.68,100,0,2.3,clear sky
215,Copacabana,CO,6.3463,-75.5089,64.83,97,35,1.99,scattered clouds
216,Denpasar,ID,-8.65,115.2167,87.46,74,20,9.22,few clouds
217,Gigmoto,PH,13.7796,124.39,83.71,80,45,6.96,moderate rain
218,Sampit,ID,-2.5333,112.95,84.24,78,98,3.36,overcast clouds
219,Umea,SE,63.8284,20.2597,25.92,93,0,3.44,clear sky
220,Lagoa,PT,39.05,-27.9833,67.68,72,1,20.42,clear sky
221,Reykjavik,IS,64.1355,-21.8954,46.58,73,100,20.27,light rain
222,Washougal,US,45.5826,-122.3534,52.7,89,1,0.0,clear sky
223,Paramonga,PE,-10.6667,-77.8333,63.05,86,96,7.43,overcast clouds
224,Orda,RU,57.1951,56.9091,45.32,84,100,13.27,overcast clouds
225,Bolotnoye,RU,55.6717,84.3981,41.45,68,65,8.41,broken clouds
226,Padang,ID,-0.9492,100.3543,86.05,78,100,3.31,overcast clouds
227,Chegdomyn,RU,51.1167,133.0167,29.97,34,9,3.96,clear sky
228,Wajir,KE,1.7471,40.0573,76.77,74,94,15.19,overcast clouds
229,San Carlos De Bariloche,AR,-41.1456,-71.3082,48.87,83,0,2.55,clear sky
230,Lundazi,ZM,-12.2929,33.1782,67.69,63,12,11.21,few clouds
231,Port Hawkesbury,CA,45.6169,-61.3485,51.69,93,19,5.01,few clouds
232,Dharan,NP,26.8125,87.2835,70.25,97,100,8.01,light rain
233,Zemio,CF,5.0314,25.1361,69.3,97,97,2.44,overcast clouds
234,Sukabumi,ID,-6.9181,106.9267,84.61,68,100,3.83,overcast clouds
235,Xinzhou,CN,38.4092,112.7333,47.44,50,100,4.0,overcast clouds
236,Sitka,US,57.0531,-135.33,51.69,40,90,17.27,overcast clouds
237,Taoudenni,ML,22.6783,-3.9836,79.48,17,55,14.52,broken clouds
238,Rawson,AR,-43.3002,-65.1023,65.79,43,7,15.19,clear sky
239,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,100,90,12.66,overcast clouds
240,Kumi,KR,36.1136,128.336,60.35,47,18,9.6,few clouds
