City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Lotofaga,WS,85.78,overcast clouds,-13.9764,-171.8578,Sataoa Beach Fales
320,Airai,TL,82.09,broken clouds,-8.9266,125.4092,Juvinal Martin
330,Le Port,RE,77.0,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
337,Singapore,SG,89.55,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
339,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
341,Port Blair,IN,83.1,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
345,Palmas,BR,76.87,light rain,-10.2128,-48.3603,Hotel Lago da Palma
346,Yasothon,TH,86.22,broken clouds,15.75,104.1333,Ban Suan Varaphan
354,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
356,Kiri Buru,IN,80.73,broken clouds,22.0833,85.35,Lucky India
364,Cilegon,ID,89.49,overcast clouds,-6.0174,106.0538,Amaris Hotel Cilegon
365,Nouakchott,MR,80.53,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
367,Pringsewu,ID,86.02,overcast clouds,-5.3582,104.9744,Urban Style by Front One
371,Samarai,PG,84.02,broken clouds,-10.6167,150.6667,Nuli Sapi
379,Isangel,VU,75.85,overcast clouds,-19.55,169.2667,Tanna Lodge
385,Amnat Charoen,TH,87.4,broken clouds,15.9167,104.75,หอพักนักศึกษา
388,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
390,Ixtapa,MX,75.2,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
392,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
397,Kavieng,PG,86.18,broken clouds,-2.5744,150.7967,Nusa Island Retreat
408,Kloulklubed,PW,85.01,broken clouds,7.0419,134.2556,Storyboard Beach Resort
414,Margherita,IN,78.28,overcast clouds,27.2833,95.6833,Dehing Guest House
417,Dingle,PH,86.32,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
421,Banjar,ID,87.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
430,Tela,HN,75.34,overcast clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
441,Mumford,GH,77.31,overcast clouds,5.2618,-0.759,Spanish Villa
442,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
443,Tabuk,PH,86.11,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
444,Manokwari,ID,83.86,heavy intensity rain,-0.8667,134.0833,Swiss Belhotel Manokwari
448,Wanning,CN,80.89,light rain,18.8003,110.3967,Paradise Hotel
454,Udaipura,IN,78.66,broken clouds,23.0833,78.5,Hotel Kanha Palace
455,Saint-Georges,GD,81.01,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
459,Coahuayana,MX,78.33,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
461,Buchanan,LR,77.16,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
463,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
472,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
474,Det Udom,TH,87.93,overcast clouds,14.906,105.0784,Chatsuda Resort
477,Bagotville,AU,77.63,scattered clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
487,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
496,Bandarbeyla,SO,78.58,clear sky,9.4942,50.8122,JABIR HOTEL
505,Mogadishu,SO,79.36,broken clouds,2.0371,45.3438,Hotel Juba
513,La Orilla,MX,78.22,scattered clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
514,Tacoronte,ES,75.16,clear sky,28.4769,-16.4102,Casa Laurel
521,Phangnga,TH,86.04,scattered clouds,8.4509,98.5298,Sunimit Mansion
523,Pangkalanbuun,ID,87.15,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
529,Tiarei,PF,82.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
530,Cockburn Town,TC,81.95,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
531,La Asuncion,VE,79.27,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
538,Tuntum,BR,75.38,scattered clouds,-5.2581,-44.6489,Casa da Dona Maria Lúcia
539,Ruteng,ID,78.75,broken clouds,-8.6136,120.4721,Hotel FX 72
540,Omboue,GA,75.87,overcast clouds,-1.5746,9.2618,Hotel Olako
542,Itarema,BR,80.28,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
545,Atar,MR,84.02,overcast clouds,20.5169,-13.0499,Oumou Elghoura
547,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
548,Road Town,VG,81.19,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
553,Mongo,TD,80.04,few clouds,12.1844,18.693,Résidences du Programme FIDA
556,Sunland Park,US,76.87,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
561,Ca Mau,VN,89.19,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
565,San Alberto,CO,75.29,scattered clouds,7.7611,-73.3922,Hotel San Alberto Plaza
566,Kesinga,IN,84.27,moderate rain,20.2,83.2333,Hotel Jayashree
567,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
573,Sorong,ID,84.25,overcast clouds,-0.8833,131.25,waigo splash hotel
585,Tan An,VN,89.62,scattered clouds,10.5333,106.4167,Khách Sạn Quỳnh Anh
590,Noumea,NC,82.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
591,Waingapu,ID,88.72,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
594,Miramar,US,79.02,clear sky,25.9873,-80.2323,Miramar
598,Cabo San Lucas,MX,81.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
599,Lazaro Cardenas,MX,79.03,scattered clouds,17.9583,-102.2,quinta antigua
600,Porto Seguro,BR,77.52,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
604,Alyangula,AU,88.38,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
606,Arlit,NE,85.19,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
612,Harper,LR,77.09,overcast clouds,4.375,-7.7169,Screensaver
617,Sao Miguel,BR,75.97,scattered clouds,-5.4667,-35.3667,Maracajaú Reef
618,Gizo,SB,84.06,light rain,-8.103,156.8419,Imagination Island
623,Gouyave,GD,81.34,broken clouds,12.1646,-61.7296,Rumboat Retreat
631,Phuket,TH,86.22,few clouds,8.0,98.25,The Surin
632,Cayenne,GF,77.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
642,San Policarpo,PH,85.66,broken clouds,12.1791,125.5072,Agapita M. Nicart
646,Japaratuba,BR,76.28,overcast clouds,-10.5933,-36.9403,Pousada Japaratuba
652,Townsville,AU,85.08,few clouds,-19.25,146.8,Rydges Southbank Townsville
654,Matara,LK,84.31,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
656,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
663,Soyo,AO,75.6,overcast clouds,-6.1349,12.3689,Hotel Mpampa
672,Niono,ML,84.79,broken clouds,14.2526,-5.993,Hôtel Campement
676,Podor,MR,84.63,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
677,Roebourne,AU,84.33,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
681,Kampot,KH,87.85,scattered clouds,10.6167,104.1833,Two Moons Hotel
682,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
684,Dunmore Town,BS,79.75,overcast clouds,25.5,-76.65,Coral Sands Hotel
685,Nelson Bay,AU,82.76,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
691,Teknaf,BD,84.56,overcast clouds,20.8624,92.3058,Forestry Guesthouse
